Course Code,Sections,Credits,Call_number,Class Link
MECE E6620,001,3,12274,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E6313-20201-001/
MECE E8020,001,1-3,11949,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E6400-20201-001/
MECE E8020,003,1-3,11950,http://www.columbia.edu/cu/bulletin/uwb/subj/MECS/E6616-20201-001/
MECE E8020,004,1-3,11951,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E6617-20201-001/
MECE E8020,006,1-3,11952,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E6620-20201-001/
MECE E8020,007,1-3,11953,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-001/
MECE E8020,008,1-3,11954,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-003/
MECE E8020,009,1-3,11955,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-004/
MECE E8020,010,1-3,11956,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-006/
MECE E8020,011,1-3,11957,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-007/
MECE E8020,012,1-3,11958,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-008/
MECE E8020,013,1-3,11959,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-009/
MECE E8020,014,1-3,11960,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-010/
MECE E8020,015,1-3,11961,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-011/
MECE E8020,016,1-3,11962,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-012/
MECE E8020,017,1-3,11963,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-013/
MECE E8020,018,1-3,11964,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-014/
MECE E8020,019,1-3,11965,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-015/
MECE E8020,021,1-3,34789,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-016/
MECE E9001,001,1-6,11968,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-017/
MECE E9001,002,1-6,11969,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-018/
MECE E9001,004,1-6,11971,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-019/
MECE E9001,005,1-6,11972,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E8020-20201-021/
MECE E9001,006,1-6,11973,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-001/
MECE E9001,007,1-6,11974,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-002/
MECE E9001,008,1-6,11975,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-004/
MECE E9001,009,1-6,11976,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-005/
MECE E9001,010,1-6,11977,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-006/
MECE E9001,011,1-6,11978,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-007/
MECE E9001,012,1-6,11980,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-008/
MECE E9001,013,1-6,11981,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-009/
MECE E9001,015,1-6,11982,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-010/
MECE E9001,016,1-6,11983,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-011/
MECE E9001,018,1-6,11984,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-012/
MECE E9001,019,1-6,11985,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-013/
MECE E9001,020,1-6,11986,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-015/
MECE E9001,021,1-6,34788,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-016/
MECE E9500,001,0,11966,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-018/
MECE E9800,001,3-12,36673,http://www.columbia.edu/cu/bulletin/uwb/subj/MECE/E9001-20201-019/
